Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,subject,run,day,group,good
V,5.0,2.114876811206228e-15,0.4233828993348342,4.380124809153022e-09,0.871423450546811,3.8169434750178184e-09,16,26,hbr,False,S16_D26 hbr,201,1,1,trained,True
W,5.0,2.114876811206228e-15,0.03355029370082611,4.291901732078159e-09,-2.906133278173169,-1.2472838450241404e-08,16,26,hbr,True,S16_D26 hbr,201,1,1,trained,True
constant,5.0,2.114876811206228e-15,0.054426060636826604,9.3402721763593e-10,-2.5009614009929835,-2.335966018784334e-09,16,26,hbr,False,S16_D26 hbr,201,1,1,trained,True
A,5.0,1.505830494581797e-14,0.0057670491654409715,1.1682173342480882e-08,-4.613924224867668,-5.390066258397584e-08,16,27,hbo,True,S16_D27 hbo,201,1,1,trained,True
AV,5.0,1.505830494581797e-14,3.152698258045795e-05,1.1760607787226294e-08,14.169151822297154,1.6663783725969954e-07,16,27,hbo,True,S16_D27 hbo,201,1,1,trained,True
V,5.0,1.505830494581797e-14,6.9610646277575344e-06,1.1687779021035364e-08,19.258958846587486,2.2509445517412864e-07,16,27,hbo,True,S16_D27 hbo,201,1,1,trained,True
W,5.0,1.505830494581797e-14,0.00012064077074245194,1.1452367503251204e-08,10.751654715827966,1.2313190107372575e-07,16,27,hbo,True,S16_D27 hbo,201,1,1,trained,True
constant,5.0,1.505830494581797e-14,0.0002896680377352775,2.492327089983585e-09,-8.953840639664712,-2.2315899585632313e-08,16,27,hbo,True,S16_D27 hbo,201,1,1,trained,True
A,5.0,4.678323527450405e-15,0.00030549119579841336,6.511495251487714e-09,8.85404485483435,5.7653071028713106e-08,16,27,hbr,True,S16_D27 hbr,201,1,1,trained,True
AV,5.0,4.678323527450405e-15,0.027453257001473136,6.555213616173815e-09,3.08052479177221,2.0193498059986196e-08,16,27,hbr,True,S16_D27 hbr,201,1,1,trained,True
V,5.0,4.678323527450405e-15,0.00367883312688243,6.5146197856149515e-09,-5.129109859578476,-3.3414200573802666e-08,16,27,hbr,True,S16_D27 hbr,201,1,1,trained,True
W,5.0,4.678323527450405e-15,0.0010892420490845815,6.383404391419171e-09,-6.741840966432588,-4.3035897231375446e-08,16,27,hbr,True,S16_D27 hbr,201,1,1,trained,True
constant,5.0,4.678323527450405e-15,0.11814962140353948,1.3891915087895696e-09,1.884777360211781,2.6183167047650263e-09,16,27,hbr,False,S16_D27 hbr,201,1,1,trained,True
A,5.0,2.5968459344771203e-14,0.0002482617913822326,1.5341177488691664e-08,-9.249034391329388,-1.4189107819639743e-07,17,13,hbo,True,S17_D13 hbo,201,1,1,trained,True
AV,5.0,2.5968459344771203e-14,0.012585432860442452,1.544417859155073e-08,-3.8033391560236747,-5.8739449169867456e-08,17,13,hbo,True,S17_D13 hbo,201,1,1,trained,True
V,5.0,2.5968459344771203e-14,0.07341313056680769,1.5348538936525703e-08,2.259331913283295,3.467744384156377e-08,17,13,hbo,False,S17_D13 hbo,201,1,1,trained,True
W,5.0,2.5968459344771203e-14,0.2683182994117477,1.503939355994784e-08,1.2449457220474685,1.8723228674645313e-08,17,13,hbo,False,S17_D13 hbo,201,1,1,trained,True
constant,5.0,2.5968459344771203e-14,0.017498822501887067,3.2729553933491585e-09,3.488485356076449,1.1417656960789973e-08,17,13,hbo,True,S17_D13 hbo,201,1,1,trained,True
A,5.0,6.190261130331416e-15,0.002972437892380607,7.490142617747392e-09,-5.387403019596425,-4.035241695606017e-08,17,13,hbr,True,S17_D13 hbr,201,1,1,trained,True
AV,5.0,6.190261130331416e-15,0.011678007695822687,7.540431648740508e-09,3.876937830415107,2.9233784716661434e-08,17,13,hbr,True,S17_D13 hbr,201,1,1,trained,True
V,5.0,6.190261130331416e-15,0.00040478515525636956,7.493736754780922e-09,8.342340902359178,6.251530664092122e-08,17,13,hbr,True,S17_D13 hbr,201,1,1,trained,True
W,5.0,6.190261130331416e-15,0.038747588459601884,7.3428002988346795e-09,-2.7833645209709474,-2.0437689836351317e-08,17,13,hbr,True,S17_D13 hbr,201,1,1,trained,True
constant,5.0,6.190261130331416e-15,0.028168268115911145,1.597980513280758e-09,3.0579338824010702,4.886518754977884e-09,17,13,hbr,True,S17_D13 hbr,201,1,1,trained,True
A,5.0,1.0977270616760708e-14,0.10124873618115048,9.974308293384325e-09,2.005324893018646,2.0001728711365915e-08,17,14,hbo,False,S17_D14 hbo,201,1,1,trained,True
AV,5.0,1.0977270616760708e-14,0.9362997842983422,1.0041276083518571e-08,0.08402134558792129,8.436815279570428e-10,17,14,hbo,False,S17_D14 hbo,201,1,1,trained,True
V,5.0,1.0977270616760708e-14,4.142656161508862e-05,9.979094454696681e-09,13.399556823512007,1.3371544319290174e-07,17,14,hbo,True,S17_D14 hbo,201,1,1,trained,True
W,5.0,1.0977270616760708e-14,0.00376998008740071,9.77809871654458e-09,5.100056232262513,4.9868853298991266e-08,17,14,hbo,True,S17_D14 hbo,201,1,1,trained,True
constant,5.0,1.0977270616760708e-14,0.0020116368775404637,2.1279635248222112e-09,-5.88576442785863,-1.2524692018179235e-08,17,14,hbo,True,S17_D14 hbo,201,1,1,trained,True
A,5.0,8.184985982461478e-15,0.07704035035860748,8.612804159170724e-09,-2.220907029808504,-1.9128237303466183e-08,17,14,hbr,False,S17_D14 hbr,201,1,1,trained,True
AV,5.0,8.184985982461478e-15,0.0013818653891982029,8.670630771747084e-09,6.398553145305588,5.547949179634572e-08,17,14,hbr,True,S17_D14 hbr,201,1,1,trained,True
V,5.0,8.184985982461478e-15,0.48599354842799625,8.616937004160573e-09,0.7518706697474801,6.478822196490055e-09,17,14,hbr,False,S17_D14 hbr,201,1,1,trained,True
W,5.0,8.184985982461478e-15,3.1049412269517346e-05,8.443377406982269e-09,-14.213393995948367,-1.2000904974192788e-07,17,14,hbr,True,S17_D14 hbr,201,1,1,trained,True
constant,5.0,8.184985982461478e-15,0.0032799440289044343,1.8374941457653358e-09,5.2669759364945685,9.678037449195668e-09,17,14,hbr,True,S17_D14 hbr,201,1,1,trained,True
A,5.0,2.6640749300260815e-14,4.2459423301024666e-05,1.5538490265307687e-08,-13.332151390805208,-2.0716150460163505e-07,17,27,hbo,True,S17_D27 hbo,201,1,1,trained,True
AV,5.0,2.6640749300260815e-14,0.27410947777412276,1.5642816131772066e-08,1.2279635597113803,1.9208808181081432e-08,17,27,hbo,False,S17_D27 hbo,201,1,1,trained,True
